stID	meanCH0	sigmaCH0	meanCH2	sigmaCH2
1	2042.96	1.05	2049.14	2.39	
2	2052.34	1.19	2053.25	1.51	
3	2044.53	2.28	2048.53	2.42	
4	2049.06	1.1	2050.73	0.794	
5	2047.05	1.01	2056.61	1.4	
6	2047.43	2.95	2050.54	0.957	
7	2050.95	1.58	2048.88	1.16	
8	2047.27	1.76	2042.24	1.34	
9	2051.04	0.908	2049.43	1.23	
10	2054.61	0.896	2050.75	1.49	
11	2050.2	0.986	2050.12	0.861	
12	2050.66	1.36	2050.86	0.784	
13	2050.3	1.02	2056.06	1.34	
14	2048.62	0.715	2053.4	0.727	
15	2049.17	1.09	2057.96	0.787	
16	2054.42	2.4	2047.34	2.49	
17	2053.75	1.34	2045.34	2.29	
18	2043.16	2.78	2048.91	2.25	
19	2050.17	1.42	2045.02	0.877	
