stID	meanCH0	sigmaCH0	meanCH2	sigmaCH2
1	2042.56	0.838	2048.99	1.88	
2	2052.28	1.16	2053.27	1.34	
3	2044.56	2.22	2048.45	2.07	
4	2049.03	1.17	2050.75	0.788	
5	2047.08	1.1	2056.61	1.6	
6	2047.29	1.36	2050.58	0.912	
7	2051.02	1.94	2048.99	1.13	
8	2047.35	1.81	2042.31	1.5	
9	2050.91	0.925	2049.36	1.15	
10	2054.61	0.939	2050.75	1.49	
11	2050.14	1.01	2050.15	0.911	
12	2050.67	1.16	2050.8	0.843	
13	2050.31	1.35	2056.1	1.46	
14	2048.61	0.919	2053.33	0.689	
15	2049.09	0.86	2057.93	0.795	
16	2054.07	2.46	2047.26	2.36	
17	2053.87	1.6	2045.31	1.84	
18	2043.05	2.29	2048.84	2.45	
19	2049.98	1.8	2045.06	0.884	
