stID	meanCH0	sigmaCH0	meanCH2	sigmaCH2
1	2042.55	0.967	2048.89	2.17	
2	2052.31	1.38	2053.27	1.12	
3	2044.47	1.46	2048.35	1.76	
4	2049.02	1.13	2050.65	0.805	
5	2047.02	1.13	2056.84	1.57	
6	2047.33	1.05	2050.45	0.87	
7	2050.88	1.7	2048.92	1.13	
8	2047.15	1.85	2042.18	1.49	
9	2051.04	1.16	2049.18	2.21	
10	2054.62	0.838	2050.65	1.1	
11	2050.28	0.848	2050.28	2.69	
12	2050.63	1.41	2050.79	1.15	
13	2050.31	1.31	2056.16	2.01	
14	2048.68	0.865	2053.4	0.748	
15	2049.09	0.91	2057.98	0.774	
16	2053.87	2.3	2047.36	3.15	
17	2053.75	2.09	2045.23	1.91	
18	2043.1	1.77	2048.78	1.82	
19	2050.12	1.58	2045.02	1.27	
