stID	meanCH0	sigmaCH0	meanCH2	sigmaCH2
1	2042.68	0.884	2048.93	1.75	
2	2052.27	1.24	2053.27	1.36	
3	2044.56	2.32	2048.49	2.06	
4	2048.95	1.2	2050.66	0.793	
5	2047.09	1.14	2056.38	1.84	
6	2047.34	1.2	2050.51	0.915	
7	2050.99	1.85	2048.92	1.21	
8	2047.35	1.94	2042.25	1.27	
9	2050.96	0.909	2049.29	1.28	
10	2054.6	0.91	2050.78	1.45	
11	2050.21	0.975	2050.09	0.907	
12	2050.6	1.21	2050.84	0.908	
13	2050.28	1.45	2056.02	1.58	
14	2048.62	0.83	2053.36	0.672	
15	2049.07	0.86	2057.93	0.769	
16	2054.24	2.51	2047.4	2.4	
17	2053.91	1.73	2045.53	1.98	
18	2042.96	2.6	2048.54	2.17	
19	2050.14	2.21	2045.03	0.892	
