stID	meanCH0	sigmaCH0	meanCH2	sigmaCH2
1	2042.87	0.88	2049.01	1.66	
2	2052.22	1.28	2053.26	1.11	
3	2044.5	2.38	2048.51	2.15	
4	2048.84	1.27	2050.7	0.793	
5	2047.05	1.21	2056.26	1.94	
6	2047.37	1.08	2050.58	0.943	
7	2050.96	1.97	2048.91	1.25	
8	2047.34	1.95	2042.2	1.24	
9	2050.96	0.879	2049.31	1.33	
10	2054.61	0.806	2050.7	1.11	
11	2050.24	0.99	2050.02	0.951	
12	2050.7	1.18	2050.92	0.896	
13	2050.28	1.61	2056.11	1.73	
14	2048.56	0.75	2053.39	0.686	
15	2049.11	0.967	2057.92	0.772	
16	2054.52	3	2047.45	2.6	
17	2053.97	2.8	2045.69	2.11	
18	2042.88	2.61	2048.76	2.26	
19	2050.04	1.79	2044.92	0.982	
