stID	meanCH0	sigmaCH0	meanCH2	sigmaCH2
1	2042.71	0.854	2048.96	1.72	
2	2052.15	1.28	2053.17	1.06	
3	2044.63	2.27	2048.55	2.14	
4	2048.91	1.33	2050.74	0.761	
5	2047.01	1.17	2056.38	2	
6	2047.39	1.09	2050.5	0.94	
7	2050.9	1.68	2048.87	1.18	
8	2047.32	2.08	2042.29	1.26	
9	2050.98	0.89	2049.25	1.04	
10	2054.6	0.798	2050.73	1.22	
11	2050.24	0.982	2050.02	0.861	
12	2050.57	1.44	2050.81	0.854	
13	2050.36	1.54	2056.11	2.11	
14	2048.64	0.768	2053.37	0.681	
15	2049.1	0.85	2057.9	0.784	
16	2054.12	2.52	2047.27	2.5	
17	2053.82	2.11	2045.49	1.99	
18	2042.87	2.1	2048.59	1.87	
19	2049.98	1.48	2044.91	0.882	
