stID	meanCH0	sigmaCH0	meanCH2	sigmaCH2
1	2042.63	0.893	2049.02	1.74	
2	2052.27	1.04	2053.22	1.07	
3	2044.58	2.17	2048.54	1.98	
4	2049	1.27	2050.66	0.755	
5	2047.08	1.12	2056.48	1.9	
6	2047.43	1.13	2050.54	0.939	
7	2050.91	1.55	2048.87	1.15	
8	2047.26	1.86	2042.24	1.34	
9	2050.92	0.912	2049.27	1.26	
10	2054.56	0.843	2050.71	1.03	
11	2050.29	0.968	2050.18	1.17	
12	2050.65	1.43	2050.87	0.939	
13	2050.26	1.49	2056	1.72	
14	2048.67	0.803	2053.41	0.651	
15	2049.09	0.844	2057.9	0.75	
16	2054.24	2.33	2047.37	2.55	
17	2053.78	1.86	2045.4	1.92	
18	2043.07	2.14	2048.92	2.25	
19	2050	1.22	2044.92	0.84	
