stID	meanCH0	sigmaCH0	meanCH2	sigmaCH2
1	2042.3	0.738	2048.91	0.802	
2	2052.37	1.06	2053.38	0.929	
3	2049.93	0.25	2049.93	0.25	
4	2049.3	1.07	2050.78	0.858	
5	2047.03	1.02	2057.04	1.34	
6	2047.07	2.86	2050.63	0.807	
7	2050.8	1.16	2048.92	1.35	
8	2047.5	1.72	2042.59	1.33	
9	2050.9	0.769	2049.69	0.998	
10	2054.85	0.953	2051.09	1.42	
11	2050.02	0.976	2049.88	2.77	
12	2056.93	0.25	2056.93	0.25	
13	2050.4	0.843	2056.11	1.26	
14	2052.43	0.25	2052.43	0.25	
15	0	0	0	0	
16	2049.84	20.5	2046.1	26.8	
17	0	0	0	0	
18	2042.99	1.75	2048.62	1.83	
19	2050.31	0.876	2045.38	0.925	
