stID	meanCH0	sigmaCH0	meanCH2	sigmaCH2
1	2042.9	0.885	2049.02	1.75	
2	2052.18	1.17	2053.19	0.995	
3	2044.48	2.63	2048.54	2.25	
4	2048.67	1.34	2050.65	0.793	
5	2047.11	1.23	2056.19	2.02	
6	2047.36	1.11	2050.59	0.928	
7	2050.96	1.9	2048.91	1.27	
8	2047.32	2	2042.16	1.27	
9	2050.95	0.863	2049.35	1.26	
10	2054.58	0.829	2050.72	1.14	
11	2050.21	0.968	2049.96	0.922	
12	2050.67	1.38	2050.86	0.881	
13	2050.34	1.7	2056.2	1.85	
14	2048.52	0.754	2053.45	0.682	
15	2049.07	0.92	2057.9	0.763	
16	2054.71	3.38	2047.55	2.56	
17	2053.92	2.4	2045.88	2.11	
18	2042.83	2.19	2048.62	2.15	
19	2049.98	1.7	2044.89	0.923	
