stID	meanCH0	sigmaCH0	meanCH2	sigmaCH2
1	2042.57	0.908	2048.94	1.9	
2	2052.32	1.26	2053.3	1.14	
3	2044.55	1.89	2048.47	1.8	
4	2048.99	1.18	2050.67	0.79	
5	2047.1	1.12	2056.89	1.7	
6	2047.37	1.14	2050.53	0.861	
7	2050.84	1.36	2048.88	1.06	
8	2047.24	1.78	2042.25	1.34	
9	2051.01	0.951	2049.21	1.53	
10	2054.62	0.836	2050.69	1.09	
11	2050.27	0.84	2050.18	1.03	
12	2050.63	1.43	2050.82	1	
13	2050.29	1.27	2056.08	1.59	
14	2048.65	0.826	2053.41	0.717	
15	2049.1	0.875	2057.99	0.766	
16	2053.94	2.36	2047.35	2.91	
17	2053.73	1.66	2045.33	1.94	
18	2043.21	1.85	2048.82	1.52	
19	2050.06	2	2045.08	1.56	
