stID	meanCH0	sigmaCH0	meanCH2	sigmaCH2
1	2042.57	0.844	2048.92	1.77	
2	2052.22	1.15	2053.27	1.27	
3	2044.63	1.96	2048.48	1.91	
4	2049.02	1.23	2050.65	0.808	
5	2047.07	1.15	2056.86	1.71	
6	2047.35	0.977	2050.47	0.846	
7	2050.95	1.72	2048.97	1.24	
8	2047.32	1.93	2042.27	1.35	
9	2050.97	0.9	2049.25	1.41	
10	2054.54	0.83	2050.66	1.08	
11	2050.34	0.818	2050.22	1.21	
12	2050.62	1.49	2050.77	1.08	
13	2050.27	1.26	2056.04	1.83	
14	2048.58	0.775	2053.35	0.739	
15	2049.13	0.846	2057.96	0.776	
16	2054.07	2.18	2047.4	2.74	
17	2053.86	2.61	2045.31	1.92	
18	2042.92	1.68	2048.82	1.76	
19	2050.21	1.27	2045.16	1.51	
