stID	meanCH0	sigmaCH0	meanCH2	sigmaCH2
1	2042.73	0.907	2049.01	1.83	
2	2052.22	1.22	2053.21	0.964	
3	2044.55	2.44	2048.46	2.13	
4	2048.93	1.25	2050.71	0.789	
5	2047.04	1.22	2056.36	2.14	
6	2047.44	1.25	2050.56	0.961	
7	2050.97	1.74	2048.88	1.23	
8	2047.27	1.96	2042.25	1.33	
9	2050.98	0.848	2049.3	1.07	
10	2054.55	0.798	2050.78	1.16	
11	2050.26	0.999	2050.15	2.45	
12	2050.69	1.46	2050.8	0.865	
13	2050.37	1.54	2056.29	2.34	
14	2048.61	0.74	2053.37	0.68	
15	2049.08	0.885	2057.91	0.785	
16	2054.22	2.31	2047.2	2.44	
17	2053.78	1.63	2045.5	2.01	
18	2042.89	1.86	2048.81	1.98	
19	2050.05	1.5	2044.95	0.848	
