stID	meanCH0	sigmaCH0	meanCH2	sigmaCH2
1	2042.53	0.842	2048.94	1.67	
2	2052.24	1.37	2053.19	1.13	
3	2044.59	1.82	2048.47	1.82	
4	2048.97	1.23	2050.69	0.801	
5	2047.1	1.11	2056.99	1.84	
6	2047.38	1.02	2050.48	0.844	
7	2050.85	1.43	2048.91	1.06	
8	2047.17	1.78	2042.31	1.41	
9	2050.93	0.949	2049.13	1.5	
10	2054.6	0.833	2050.73	1.07	
11	2050.28	0.826	2050.25	1.03	
12	2050.61	1.45	2050.76	1.09	
13	2050.28	1.18	2056.07	1.53	
14	2048.68	0.816	2053.4	0.724	
15	2049.09	0.88	2057.98	0.776	
16	2054.17	2.24	2047.32	2.77	
17	2053.8	1.6	2045.32	1.95	
18	2043.03	1.63	2048.83	1.6	
19	2050.13	1.1	2045.31	1.18	
