stID	meanCH0	sigmaCH0	meanCH2	sigmaCH2
1	2042.53	0.836	2048.92	1.82	
2	2052.25	1.26	2053.19	1.39	
3	2044.62	1.7	2048.51	1.85	
4	2048.97	1.23	2050.68	0.816	
5	2047.09	1.16	2056.89	1.72	
6	2047.35	0.887	2050.44	0.883	
7	2050.91	1.73	2048.94	1.23	
8	2047.12	1.95	2042.2	1.44	
9	2050.98	0.912	2049.31	1.23	
10	2054.55	0.822	2050.72	1.08	
11	2050.3	0.847	2050.23	1.47	
12	2050.55	1.36	2050.81	1.07	
13	2050.32	1.21	2056.09	1.77	
14	2048.62	0.774	2053.33	0.717	
15	2049.11	0.865	2057.94	0.746	
16	2054.28	2.42	2047.24	2.77	
17	2053.9	3.75	2045.23	1.88	
18	2043.03	1.74	2048.79	1.75	
19	2050.11	1.08	2045.16	1.41	
