stID	meanCH0	sigmaCH0	meanCH2	sigmaCH2
1	2042.71	0.846	2048.98	1.73	
2	2052.14	1.09	2053.32	1.42	
3	2044.53	2.24	2048.52	1.99	
4	2048.96	1.22	2050.74	0.784	
5	2047.1	1.14	2056.4	1.64	
6	2047.37	1.39	2050.55	0.915	
7	2051.01	1.7	2048.89	1.21	
8	2047.24	1.79	2042.26	1.23	
9	2050.97	0.89	2049.28	1.53	
10	2054.64	0.935	2050.72	1.44	
11	2050.21	0.962	2050.04	0.946	
12	2050.68	1.25	2050.89	0.847	
13	2050.35	1.47	2056.07	1.88	
14	2048.61	0.721	2053.43	0.675	
15	2049.12	0.88	2057.89	0.764	
16	2054.31	2.55	2047.24	2.53	
17	2053.84	2.19	2045.53	1.97	
18	2042.79	1.85	2048.66	1.78	
19	2050.06	2.28	2044.95	0.846	
