stID	meanCH0	sigmaCH0	meanCH2	sigmaCH2
1	2042.53	0.836	2048.95	1.73	
2	2052.2	1.28	2053.16	1.25	
3	2044.55	1.85	2048.46	2	
4	2049.01	1.24	2050.69	0.808	
5	2047.06	1.11	2056.95	1.58	
6	2047.35	0.922	2050.46	0.842	
7	2050.88	1.46	2048.9	1.1	
8	2047.21	1.91	2042.34	1.35	
9	2050.96	0.931	2049.29	1.21	
10	2054.6	0.828	2050.71	1.1	
11	2050.25	0.854	2050.23	1.38	
12	2050.61	1.51	2050.8	0.997	
13	2050.31	1.2	2056.15	1.6	
14	2048.64	0.795	2053.38	0.728	
15	2049.1	0.879	2057.98	0.758	
16	2054.28	2.33	2047.28	2.7	
17	2053.82	1.45	2045.36	1.99	
18	2043.24	2.01	2048.84	1.66	
19	2050.15	1.03	2045.22	0.904	
