stID	meanCH0	sigmaCH0	meanCH2	sigmaCH2
1	2042.01	0.775	2048.78	0.771	
2	2052.41	1.17	2053.41	1.01	
3	2047.43	0.25	2047.43	0.25	
4	2049.31	1.06	2050.76	0.868	
5	2047.02	1.02	2057.37	1.27	
6	2047.68	2.44	2050.62	0.766	
7	2050.86	1.14	2049.2	1.23	
8	2047.95	1.52	2043.23	1.26	
9	2051.59	0.908	2049.38	1.17	
10	2054.97	0.85	2051.6	1.34	
11	2050.06	0.849	2050.36	1.33	
12	2050.93	0.25	2050.93	0.25	
13	2050.92	0.848	2056.02	1.14	
14	2052.43	0.25	2052.43	0.25	
15	0	0	0	0	
16	2045.5	4.17	2043.25	1.67	
17	0	0	0	0	
18	2042.88	1.54	2048.45	2.16	
19	2050.89	0.87	2045.55	0.904	
