stID	meanCH0	sigmaCH0	meanCH2	sigmaCH2
1	2042.66	0.947	2048.91	1.74	
2	2052.24	1.19	2053.19	1.17	
3	2044.62	2.29	2048.53	2.09	
4	2048.95	1.31	2050.67	0.8	
5	2047.07	1.19	2056.5	1.96	
6	2047.41	1.17	2050.5	0.952	
7	2050.95	1.69	2048.9	1.19	
8	2047.38	1.89	2042.29	1.35	
9	2050.98	0.853	2049.32	1.19	
10	2054.6	0.797	2050.81	1.1	
11	2050.31	0.995	2050.13	1.19	
12	2050.62	1.43	2050.81	0.92	
13	2050.36	1.54	2056.18	2.1	
14	2048.63	0.791	2053.38	0.675	
15	2049.09	0.89	2057.93	0.763	
16	2054.09	2.19	2047.26	2.38	
17	2053.85	1.63	2045.42	1.94	
18	2042.99	2.02	2048.85	2.73	
19	2050.04	1.28	2044.94	0.924	
