stID	meanCH0	sigmaCH0	meanCH2	sigmaCH2
1	2042.28	1.29	2048.8	0.77	
2	2052.37	1.32	2053.41	0.847	
3	0	0	0	0	
4	2049.22	1.12	2050.7	0.842	
5	2046.82	0.97	2056.94	1.21	
6	2047.42	2.58	2050.64	0.723	
7	2050.79	1.26	2048.92	1.04	
8	2047.68	1.83	2042.71	1.23	
9	2051.16	0.864	2049.36	1.01	
10	2054.82	0.953	2051.21	1.51	
11	2049.98	0.902	2050.28	1.92	
12	2044.93	0.25	2044.93	0.25	
13	2050.43	0.906	2055.97	0.89	
14	2042.93	0.25	2042.93	0.25	
15	0	0	0	0	
16	2053.34	2.43	2046.82	2.73	
17	2053.06	2.51	2045.03	2	
18	2042.78	1.84	2048.43	2.16	
19	2050.42	1.18	2045.47	0.863	
