stID	meanCH0	sigmaCH0	meanCH2	sigmaCH2
1	2042.3	0.779	2048.83	1.36	
2	2052.45	1.16	2053.36	1.07	
3	2052.43	0.25	2052.43	0.25	
4	2049.18	1.04	2050.76	0.873	
5	2047.07	0.996	2056.98	1.3	
6	2047.61	3.35	2050.51	0.836	
7	2050.87	1.41	2048.95	1.52	
8	2047.82	1.85	2043.08	1.46	
9	2050.98	0.856	2049.57	1.05	
10	2054.79	0.967	2051.28	1.46	
11	2050.03	1.04	2050.41	3.45	
12	2045.43	0.25	2045.43	0.25	
13	2050.42	0.692	2056.08	1.09	
14	2055.43	0.25	2055.43	0.25	
15	0	0	0	0	
16	2054.07	3.21	2046.93	3.07	
17	2059.82	8.89	2047.45	7.67	
18	2043.23	1.87	2049.05	3.03	
19	2050.46	0.939	2045.4	1.25	
