stID	meanCH0	sigmaCH0	meanCH2	sigmaCH2
1	2043.06	1.06	2049.09	2.19	
2	2052.28	1.16	2053.24	1.53	
3	2044.51	2.28	2048.53	2.54	
4	2049.04	1.06	2050.72	0.802	
5	2047.05	1.04	2056.55	1.4	
6	2047.48	2.95	2050.6	0.939	
7	2050.94	1.66	2048.91	1.18	
8	2047.34	1.82	2042.25	1.27	
9	2051.03	0.898	2049.43	1.49	
10	2054.63	0.9	2050.8	1.41	
11	2050.16	0.99	2050.13	0.881	
12	2050.68	1.46	2050.85	0.809	
13	2050.28	1.04	2056.05	1.62	
14	2048.68	0.714	2053.39	0.702	
15	2049.15	0.97	2057.96	0.793	
16	2054.28	2.31	2047.4	2.46	
17	2053.77	1.35	2045.51	2.28	
18	2043.1	2.25	2048.88	1.97	
19	2050.18	1.49	2045.01	0.847	
