stID	meanCH0	sigmaCH0	meanCH2	sigmaCH2
1	2042.72	0.925	2048.91	1.73	
2	2052.36	1.29	2053.3	1.25	
3	2044.67	2.54	2048.66	3.09	
4	2049.04	1.07	2050.73	0.841	
5	2047.08	1.01	2057.34	1.32	
6	2047.36	1.57	2050.58	1.19	
7	2050.93	1.45	2048.88	1.11	
8	2047.28	2.04	2042.26	1.26	
9	2051.07	0.914	2049.45	1.57	
10	2054.61	0.91	2050.79	1.49	
11	2050.16	0.973	2050.16	1.21	
12	2050.71	1.85	2050.84	1.05	
13	2050.28	0.867	2056.03	1.63	
14	2048.7	0.719	2053.35	0.835	
15	2049.11	0.885	2057.93	0.795	
16	2054.17	2.33	2047.4	2.42	
17	2053.82	1.64	2045.47	2.2	
18	2043.18	1.96	2048.86	1.8	
19	2050.31	1.3	2045.12	0.883	
