stID	meanCH0	sigmaCH0	meanCH2	sigmaCH2
1	2042.31	0.791	2048.83	0.82	
2	0	0	0	0	
3	0	0	0	0	
4	2049.21	1.08	2050.74	0.838	
5	2046.96	1.09	2056.89	1.27	
6	2047.45	2.63	2050.5	0.824	
7	2050.82	1.18	2048.9	1.21	
8	2047.59	1.68	2042.71	1.48	
9	2051.2	0.883	2049.28	1.03	
10	2054.73	0.938	2051.17	1.28	
11	2050.12	0.927	2050.07	2.68	
12	2050.93	0.25	2050.93	0.25	
13	2050.39	0.834	2056.01	1.21	
14	2052.43	0.25	2052.43	0.25	
15	2049.75	1.11	2052.75	4.45	
16	2051	0.278	2047.5	3.61	
17	0	0	0	0	
18	2043.26	1.61	2048.69	2.45	
19	2050.41	1.06	2045.17	0.943	
