stID	meanCH0	sigmaCH0	meanCH2	sigmaCH2
1	2042.62	0.85	2048.97	1.79	
2	2052.27	1.14	2053.19	1.43	
3	2044.63	2.25	2048.61	2.07	
4	2048.96	1.21	2050.72	0.768	
5	2047.06	1.15	2056.39	1.83	
6	2047.36	1.37	2050.62	0.927	
7	2050.94	1.99	2048.9	1.2	
8	2047.29	1.99	2042.24	1.37	
9	2050.99	0.873	2049.33	1.08	
10	2054.63	0.929	2050.81	1.45	
11	2050.23	0.992	2050.1	0.897	
12	2050.72	1.19	2050.81	0.886	
13	2050.25	1.46	2055.98	1.6	
14	2048.63	0.826	2053.41	0.657	
15	2049.09	0.859	2057.94	0.772	
16	2054.28	2.23	2047.51	2.41	
17	2053.82	1.54	2045.53	1.91	
18	2042.98	2.45	2048.69	2.11	
19	2050.01	2.05	2045.23	0.92	
