stID	meanCH0	sigmaCH0	meanCH2	sigmaCH2
1	2042.64	0.683	2048.9	0.94	
2	2052.22	1.3	2053.41	1.02	
3	2044.38	1.18	2048.63	1.22	
4	2048.93	0.873	2050.48	0.726	
5	2046.83	1.09	2057.15	1.84	
6	2047.2	1.09	2050.43	0.714	
7	2051.02	1.42	2048.92	0.786	
8	2047.24	1.1	2042.36	1.18	
9	2051.34	1.11	2049.59	1.06	
10	2054.41	0.852	2050.73	0.897	
11	2050.22	0.69	2050.2	0.699	
12	2050.78	1.04	2050.95	0.778	
13	2050.44	1.37	2056.23	0.816	
14	2048.62	0.782	2053.46	0.674	
15	2049.02	0.757	2057.93	0.829	
16	2053.35	2.09	2047.07	1.94	
17	2054.17	3.32	2045.05	1.74	
18	2042.77	1.64	2048.6	1.09	
19	2050.04	0.919	2045.11	0.736	
