stID	meanCH0	sigmaCH0	meanCH2	sigmaCH2
1	2042.73	0.914	2049	1.66	
2	2052.21	1.16	2053.23	1.31	
3	2044.57	2.25	2048.57	2.1	
4	2048.96	1.25	2050.67	0.752	
5	2047.05	1.16	2056.4	1.82	
6	2047.37	0.956	2050.54	0.966	
7	2050.99	1.59	2048.88	1.17	
8	2047.43	1.86	2042.3	1.35	
9	2050.98	0.852	2049.32	1.36	
10	2054.58	0.809	2050.79	1.14	
11	2050.36	0.99	2050.08	1.05	
12	2050.65	1.35	2050.82	0.932	
13	2050.31	1.54	2056.15	2.26	
14	2048.6	0.765	2053.35	0.689	
15	2049.1	0.874	2057.93	0.766	
16	2054.22	2.26	2047.32	2.43	
17	2053.74	1.66	2045.45	1.98	
18	2042.86	2.06	2048.83	3.23	
19	2050.08	1.52	2044.91	0.896	
