stID	meanCH0	sigmaCH0	meanCH2	sigmaCH2
1	2042.82	1.09	2049.12	2.2	
2	2052.34	1.2	2053.27	1.12	
3	2044.67	2.62	2048.65	2.7	
4	2049.04	1.03	2050.76	0.796	
5	2047.16	1.04	2057.41	1.39	
6	2047.31	2.09	2050.55	1.06	
7	2050.97	1.53	2048.94	1.14	
8	2047.22	1.73	2042.23	1.25	
9	2051.02	0.901	2049.45	1.32	
10	2054.63	0.929	2050.82	1.58	
11	2050.15	1.02	2050.23	1.71	
12	2050.65	1.47	2050.87	0.881	
13	2050.34	0.971	2056.19	1.93	
14	2048.7	0.727	2053.35	0.752	
15	2049.1	0.893	2057.96	0.782	
16	2054	2.38	2047.41	2.46	
17	2053.76	1.66	2045.46	2.12	
18	2043.18	2.16	2048.88	2.38	
19	2050.2	1.28	2045.3	0.872	
