stID	meanCH0	sigmaCH0	meanCH2	sigmaCH2
1	2042.8	0.994	2048.88	1.95	
2	2052.28	1.23	2053.24	1.29	
3	2044.43	2.48	2048.4	3.15	
4	2049.03	1.12	2050.72	0.849	
5	2047.01	0.982	2057.2	1.36	
6	2047.23	1.16	2050.68	1.05	
7	2050.98	1.62	2048.89	1.12	
8	2047.25	1.88	2042.27	1.21	
9	2051.07	0.959	2049.47	1.84	
10	2054.61	0.914	2050.76	1.57	
11	2050.06	1.05	2050.15	1.21	
12	2050.93	0.25	2050.93	0.25	
13	2050.33	0.951	2056.06	1.74	
14	2052.93	0.25	2052.93	0.25	
15	0	0	0	0	
16	2053.21	3.01	2047.31	2.88	
17	2042.75	0.556	2042.75	0.556	
18	0	0	0	0	
19	2050.14	1.49	2045.04	0.933	
